Date,Open,High,Low,Close,Adj Close,Volume
2000-11-28,39.092133,39.208576,37.719746,38.801018,12.908126,4328030
2000-11-29,38.343559,38.892509,38.010860,38.094032,12.672932,2452859
2000-11-30,37.719746,37.960953,36.605206,36.605206,12.177634,3251913
2000-12-01,37.012760,38.468319,36.804825,37.969273,12.631425,3037787
2000-12-04,37.927685,40.123497,37.844509,38.551495,12.825117,4756632
2000-12-05,39.108765,40.672451,38.809338,40.331432,13.417258,4650397
2000-12-06,40.830482,41.462612,39.882290,40.115181,13.345317,5034833
2000-12-07,39.882290,40.547688,39.092133,39.466415,13.129489,3440883
2000-12-08,39.483051,40.522736,39.483051,40.214989,13.378519,2469897
2000-12-11,40.506100,41.737087,40.506100,41.387753,13.768667,4000018
2000-12-12,42.003246,42.959755,41.870167,42.444073,14.120080,5097080
2000-12-13,42.826675,43.001343,41.055054,41.371120,13.763133,4249031
2000-12-14,41.171497,41.712135,40.630863,40.705723,13.541777,3970544
2000-12-15,40.464516,40.880386,39.757526,39.948830,13.289978,7820370
2000-12-18,39.508003,40.214989,38.884193,39.591179,13.170992,5544700
2000-12-19,38.925781,40.090225,38.135620,38.252068,12.725504,5848923
2000-12-20,37.886097,39.008957,37.179111,37.362095,12.429435,4759146
2000-12-21,37.012760,38.193844,36.829777,36.929588,12.285550,3547996
2000-12-22,36.971172,37.428635,36.388950,36.596889,12.174866,2789535
2000-12-25,36.596889,36.596889,36.596889,36.596889,12.174866,0
2000-12-26,36.596889,36.596889,36.596889,36.596889,12.174866,0
2000-12-27,36.596889,36.929588,35.557205,36.056252,11.995011,2723442
2000-12-28,35.765141,36.264191,35.515617,36.006348,11.978412,3015184
2000-12-29,36.388950,37.761333,36.014664,37.212379,12.379625,2201095
2001-01-01,37.212379,37.212379,37.212379,37.212379,12.379625,0
2001-01-02,36.971172,38.293652,36.788189,36.937904,12.288314,2957077
2001-01-03,37.145840,38.252068,36.131111,38.010860,12.645260,2995349
2001-01-04,38.676258,39.591179,37.395367,39.591179,13.170992,6973169
2001-01-05,39.591179,39.591179,39.591179,39.591179,13.170992,0
2001-01-08,38.343559,39.341656,38.010860,38.676258,12.866622,3608788
2001-01-09,38.759434,38.842606,37.470222,38.842606,12.921960,4809738
2001-01-10,38.426731,38.717842,36.355682,37.129208,12.351958,6222055
2001-01-11,36.680061,38.010860,36.680061,37.436954,12.454337,3515432
2001-01-12,36.097839,36.846413,35.989712,36.738285,12.221909,7570873
2001-01-15,36.804825,37.320507,36.314095,37.179111,12.368560,3237661
2001-01-16,37.212379,37.220699,36.696697,37.220699,12.382395,2513986
2001-01-17,37.262287,39.325020,37.262287,39.258480,13.060313,6261166
2001-01-18,39.092133,40.206673,38.551495,39.923878,13.281675,5068591
2001-01-19,40.339752,41.504196,40.131817,40.722355,13.547307,6490138
2001-01-22,40.847118,42.003246,40.506100,41.753723,13.890419,4290588
2001-01-23,41.670547,42.793407,41.254673,41.986610,13.967895,5712298
2001-01-24,42.003246,42.003246,41.146545,41.836899,13.918090,4088292
2001-01-25,41.836899,43.084518,41.437656,43.042931,14.319304,5912655
2001-01-26,42.834995,44.157475,42.751820,43.683376,14.532364,5777897
2001-01-29,43.791504,44.248966,42.360897,42.918167,14.277798,5397162
2001-01-30,42.419121,42.543880,40.930290,41.454292,13.790803,5687470
2001-01-31,41.961658,42.743504,41.670547,42.460709,14.125615,4912732
2001-02-01,42.111374,43.142742,41.770355,41.795311,13.904252,4402047
2001-02-02,41.628960,42.236137,40.897022,40.963562,13.627550,5148823
2001-02-05,40.714039,41.911755,40.339752,41.836899,13.918090,4958180
2001-02-06,41.961658,43.791504,41.670547,43.309090,14.407852,4676846
2001-02-07,43.467121,44.415314,43.101154,43.101154,14.338674,6369007
2001-02-08,43.250870,44.714745,43.042931,44.540077,14.817367,3902093
2001-02-09,44.748013,44.748013,43.292454,43.500393,14.471492,2632820
2001-02-12,43.666740,44.531757,43.500393,43.916267,14.609842,2922878
2001-02-13,44.174107,46.203571,44.174107,45.496586,15.135575,7845924
2001-02-14,45.338554,46.444778,44.914364,46.161983,15.356936,5671567
2001-02-15,46.161983,46.161983,46.161983,46.161983,15.356936,0
2001-02-16,45.637981,45.754429,44.872776,45.496586,15.135575,4078782
2001-02-19,45.579762,46.394875,45.579762,45.870872,15.260094,2512198
2001-02-20,45.995632,47.160080,45.887508,47.027000,15.644701,4741419
2001-02-21,46.993732,47.733986,46.577858,47.617542,15.841165,5249887
2001-02-22,47.326431,47.575954,44.997540,45.496586,15.135575,6391314
2001-02-23,45.870872,45.870872,43.566933,43.758232,14.557267,5269661
2001-02-26,43.957851,44.406998,42.918167,43.591885,14.501927,3812771
2001-02-27,43.583569,44.240646,43.167694,43.991123,14.634748,2873118
2001-02-28,43.583569,45.122299,43.250870,44.382046,14.764795,3660553
